乱前看不足	不足
寻常梦在秋江上	秋
钓艇游扬藕叶中	钓艇
黄绢碑残香草生	香
当时泪眼不曾晴	当时
至今流水声呜咽	声
犹是曹娥哀怨声	声
夜深寒月照窗纱	夜深
忽忆林逋处士家	家
鸥鹭正眠烟树冷	冷
不知谁可伴梅花	梅花
整顿归装夜不眠	夜
篮舆出趁早凉天	早
东南爽气来相逼	东南
叶底初闻一片蝉	一片
漠漠秋烟幕故园	漠漠
沉沉暮色暝渔船	暝
月华未出诗翁远	远
乐事人间少十全	人间
援琴鼓流水	流水
弦绝无知音	弦
为语逐臭夫	逐臭
兰芷和深林	深林
长策胸中不复论	胸中
荷衣蓝缕闭柴门	柴门
当时汉祖无三杰	当时
争得咸阳与子孙	子孙
行人白马去遥遥	行人
初上金堤欲过桥	金堤
望尘不见遮人眼	遮
苦怨无情万万条	万
得过一日且一日	一日
安知今吾非故吾	安知
袖手明窗读周易	读
不辜香饭一斋盂	盂
归去倒骑牛	归去
乾坤得自由	自由
知道江山阔	江山
圆成六不收	圆成
龛灯隐隐夜初分	分
落果猿啼枕上闻	闻
客梦欲成成不得	成
一窗残月半床云	云
梅花种子无穷尽	梅花
和靖何曾占断休	休
若向鼻端参得透	透
孤山不必在杭州	孤山
莫折东风杨柳枝	东风
枝间叶叶是愁眉	叶叶
游人不省愁何事	愁
曾向东风笛里吹	曾
吴王宫殿作飞尘	宫殿
野鸟幽花各自春	幽花
料得寒溪暄笑日	暄
也曾惊动武昌人	人
江南春晚经行地	江南
賸有唐昌玉蕊花	花
露绮烟絺无限态	无限
冰清玉润自成葩	自成
秋去春来不倦遥	春来
流莺相伴语交交	语
儿孙各自飞鸣去	儿孙
犹拣新泥补旧巢	犹
春光深处曲江西	西
八座风流信马蹄	风流
鹤发杏花相映好	杏花
羡君终日醉如泥	醉
风磨湛湛真空体	体
雨洗如如法界身	身
大地山河并万象	山河
今朝与佛共生辰	今朝
疏林漏晓日	漏
修竹起寒风	修竹
钟鼓催朝暮	催
千年如此同	千年
飕飕万峰顶	万
宇宙尽闻声	宇宙
会得真消息	消息
知予是强名	强名
眼见云林百虑肖	云林
人间静处即云霄	人间
时时醉卧听流水	流水
低拂垂杨欠小桥	低
直到劫空明自己	明
不无不堕超生死	堕
夜船载月钓沧浪	月
清白传家只如此	传家
绿阴深处石桥横	深处
才入山门意便清	清
林下一僧无个事	林下
时来倚树听泉声	泉声
春衫曾着泪痕斑	曾
才到年时怕倚栏	年
何处飞来双燕子	双
傍人还欲诉春寒	春寒
湖上新正逢故人	新
情深应不笑家贫	笑
明朝别后门还掩	门
修竹千竿一老身	修竹
日午离筵到夕阳	夕阳
明朝秦地与吴乡	明朝
同年多是长安客	客
不信行人欲断肠	行人
烟山漠漠水漫漫	水
老柳知秋渡口寒	寒
尽是西溪肠断处	肠断
凭君将与故人看	故人
窗间光影晚来新	新
半幅溪藤万里春	春
从此不贪江路好	不贪
剩拚心力唤真真	唤
不知秋思在谁家	谁家
风自西南故故斜	斜
独坐黄昏谁是伴	伴
应怜夫婿更天涯	天涯
萱花自昔可忘忧	花
小草如何却解愁	解愁
为语世人休怪诧	世人
风情太甚要含羞	含羞
江头沈醉泥斜晖	江头
却向花前恸哭归	花前
惆怅一年春又去	春
碧云芳草两依依	芳草
南风门月吐梅花	月
奇绝西昌孝子家	家
一点落英千古月	月
夜来啼杀后栖鸦	栖鸦
曾向毗陵怨别离	曾
十年重见不胜悲	十年
相看共有江州泪	泪
湿尽青衫是此时	此时
列岫凌虚滃翠岚	凌虚
龙泓澄澈七星涵	涵
岩瞻好向西湖看	西湖
飞去何妨自岭南	飞去
明月高悬未照前	前
雪眉人凭玉栏干	人
夜深雨过风雷息	夜深
客散云楼酒碗乾	云楼
烟霄微月澹长空	澹
银汉秋期万古同	万古
几许欢情与离恨	离恨
年年并在此宵中	年年
莫叹他乡死	死
君王也不归	君王
年年野棠树	年年
花在路旁飞	花
置酒何由办咄嗟	咄嗟
清言深媿淡生涯	深
聊将横浦红丝磑	聊
自作蒙山紫笋茶	茶
花笺得得寄瀛洲	寄
约我今宵特地留	留
好笑花头迷去路	迷
绿杨无处认青楼	无处
山腰石有千年润	千年
海眼泉无一日乾	一日
天下苍生待霖雨	天下
不知龙向此中蟠	此中蟠
一段无瑕真万金	万金
临窗忽见洗尘心	心
中间方寸君知否	方寸
便是仙家绿绮琴	便是
片帆天际阔	阔
落日远山青	青
隐隐风前笛	风前
行人不忍听	行人
春余白发日萧萧	日
无复当年湖海豪	当年
为吏应须长孙子	应须
裁诗要及九牛腰	牛腰
诗人不是欠生涯	诗人
野性从前嫩在家	嫩
冷眼春来元有分	分
看山看雪看梅花	梅花
驱除牢愁须酒圣	须
狼藉春色要花红	春色
定知春来无一事	春来
苦教有情愁得侬	有情
投老庵居百事宜	居
早眠晏起不论时	晏起
更长睡足披衣坐	坐
倾耳林间竹画眉	竹
麦熟家家喜堕涎	喜
龟堂依旧突无烟	依旧
雨中更觉凄凉甚	甚
一点残灯守蠹编	一点
冰雪佳人貌最奇	佳人
常将玉笛向人吹	人
曲中无限花心动	动
独许东君第一枝	东君
平池春去水溶溶	水
人在笙歌一部中	人
柳叶翻风罗带绿	绿
荷花著雨锦衣红	红
霜中老柏无时事	霜
岩下孤云自岁寒	岁寒
西院木鱼东院鼓	鼓
冬窝客子正浓鼾	客子
前年帝里探春时	探春
寺寺名花我尽知	寺
今日长安已灰烬	今日
忍能南国对芳枝	南国
何必逢人尽说贫	人
自来求已胜求人	胜
梅花落尽青山远	梅花
深掩柴门过一春	柴门
迢嶢山上寺	寺
近在古城中	古
苦恨河流远	远
长教眼力穷	穷
联骑来登卯酉山	山
老君玉局护阑干	阑干
步虚殿上香云绕	香
空翠萧森北斗寒	寒
九陌初晴处处春	春
不能回避看花尘	尘
由来得丧非吾事	由来
本是钓鱼船上人	人
日映宫墙柳色寒	寒
笙歌遥指碧云端	碧
珠铅滴尽无心语	语
强把花枝冷笑看	强
姑苏台下垂杨柳	姑苏
曾为张王护禁城	曾
今日淡烟芳草里	今日
暮蝉犹作管弦声	声
读罢羲文先后天	天
萧然一室袅寒烟	萧然
山中岁月那知得	山中
但见梅花又一年	梅花
自读西湖处士诗	诗
寻芳长恨见花迟	寻芳
前程笑到山多处	山
竹裹横斜一两枝	横斜
春水江门一叶舟	舟
几人来此看垂钩	几人
浮云一散无踪迹	浮云
飞尽桃花江水流	桃花
终日看山唤不回	终日
却如山骨瘦归来	归来
白头未老青鞋底	青
无限江南翠作堆	江南
林莺一哢四时春	四时春
蝉翼罗衣白玉人	人
曾逐使君歌舞地	歌舞地
清声长啸翠眉颦	颦
断肠声里无形影	影
画出无声亦断肠	断肠
想得阳关更西路	阳关
北风低草见牛羊	北风
碧水丹山映杖藜	映
夕阳犹在小桥西	西
微吟不道惊溪鸟	惊
飞入乱云深处啼	啼
长安二月柳依依	柳
西出流沙路渐微	微
阏氏山上春光少	少
相府庭边驿使稀	稀
惆怅沙河十里春	春
一番花老一番新	新
小楼依旧斜阳里	斜阳
不见楼中垂手人	人
五马踟蹰在路岐	路
南来只为看花枝	花枝
莺衔蝶弄红芳尽	弄
此日深闺那得知	此日
先生墓木绿成围	先生
弟子摧颓昼掩扉	昼
大雪繁霜心已死	死
有时清梦尚抠衣	尚
手把蟠桃植	手把
何劳羯鼓催	催
从今三万岁	从今
十度看花开	看花
湛湛清江叠叠山	山
白云白鸟在其间	白云
渔翁醉睡又醒睡	醉
谁道皇天最惜闲	道
此情人不知	人
亦尝叹迟暮	叹
虽则叹迟暮	叹
奈何难分付	难
满啜禅林五味茶	茶
清风吹散事如麻	清风
客中邂逅真奇绝	邂逅
不比寻常贼破家	寻常
葛玄功行满三千	三千
白日骖鸾上碧天	鸾
留得旧时坛宇在	留
后人方信有神仙	神仙
花前双泪湿衣裾	花前
把酒江亭落日余	落日
此去吴江霜月满	霜
逢人好寄洞庭书	人
贫居稍与池塘近	池塘
旬日轩车不降来	轩车
一树琼花空有待	空
晓风看落满青苔	晓风
月里嫦娥不画眉	月
只将云雾作罗衣	云雾
不知梦逐青鸾去	青鸾
犹把花枝盖面归	犹
斜雨飞丝织晚风	晚风
疏帘半卷野亭空	空
荷花开尽秋光晚	晚
零落残红绿沼中	零落
叮咛损君德	叮咛
无言真有功	无言
任从沧海变	变
终不为君通	终不
倾尽宝山宝	宝
全身入荒草	全身
若是凤凰儿	凤凰
不向那边讨	不向
杜陵四海志	四海
不忍寒飕飕	寒
投我一红炉	投
果胜千金裘	裘
津津爽气贯眉目	爽气
十五男儿万里身	万里
笔下倒倾三峡水	水
胸中别作一家春	春
经旬因雨不重来	重来
门有蛛丝径有苔	苔
再向白莲亭上望	亭
不知花木为谁开	花木
镜里山林绿到天	天
春风只在禹祠前	春风
一声何处提壶鸟	一声
猛省红尘二十年	十年
世路悠悠已倦游	悠悠
桃溪深处草堂幽	深处
东风自解幽人意	东风
不遣飞花逐水流	飞花
远寻瑶草到仙家	仙家
冲破云间一片霞	一片
道士不知兴废事	道士
又来溪上种桃花	桃花
傅说为霖寤寐中	为霖
高宗一念与天通	念
后来亦有君王梦	梦
不是阳台便月宫	阳台
无事到扬州	无事
相携上酒楼	酒楼
药囊为赠别	赠别
千载更何求	千载
痛忆梅开易得残	残
既残憔悴不堪看	残
年年长被清香误	年年
争似闲栽竹数竿	闲
静坐思君秋日长	静坐
清波白鹭两茫茫	茫茫
定应嚼遍湘累菊	遍
寄我新诗字字香	香
渔歌听尽欲狂吟	渔歌
一径人家柳影深	深
天意似嫌花信早	早
东风吹雨又成阴	东风
投迹山林不厌深	深
老来宁复计升沉	升沉
水禽得得来相伴	水禽
应识幽人一片主	一片
芙蓉城下六月秋	秋
最好雁湖湖上游	游
周遭一机云锦烂	烂
并与老仙供唱酬	供
欲啭声犹涩	啭
将飞羽未调	飞
高风不借便	高风
何处得迁乔	迁乔
曾向林间对酒卮	曾
不嫌俗物亦伸眉	嫌
江湖若许同归去	江湖
能为先生理钓丝	先生
百草头边千圣眼	百草
一毫端上万重关	端
更无佛法并玄妙	玄妙
堪与知音共往还	堪
那有清霜来鬓上	鬓
略无閒事上眉头	眉头
傍人借问家何处	家
一叶轻舟水面浮	浮
主人不相识	主人
偶坐为林泉	林泉
莫谩愁沽酒	愁
囊中自有钱	钱
山腰石有千年润	千年
海眼泉无一日乾	一日
天下苍生望霖雨	天下
不知龙在此中蟠	龙
西母瑶池宫殿高	高
夜明帘卷玉丝绦	帘卷
隔云听得东方笑	笑
三度曾偷碧树桃	曾
年时清话几黄昏	年
双桂亭前竹外门	门
离合盛衰方感旧	感旧
忽逢新句动诗魂	动
千年故国岁华奔	千年
一柱高台已断魂	断魂
唯有岘亭清夜月	月
与君长啸学苏门	君
熏炉茶鼎暂来同	茶鼎
寒日鸦啼柿叶风	风
万事尽还杯酒里	杯酒
百年俱在大槐中	俱
祝公千龄寿	寿
小我五月生	生
如何山林槁	山林
得并江汉英	江汉
南国卷云水	水
黄金倾有无	黄金
蛟龙亦狼狈	蛟龙
反复乃须臾	须臾
未说司花刻玉工	刻玉
已知名与佛相同	名
可怜结了薰风子	子
依旧身归色界中	色界
夜半诗成欲寄君	夜半
梦魂飞渡楚江津	梦魂
怡怡前日如兄弟	怡怡
今作东西南北人	人
秉烛西园事已非	非
更堪中酒落花时	落花
隔帘燕子偏饶舌	偏
不管春愁卷作诗	卷
苜蓿堆盘莫笑贫	贫
家园瓜瓠渐轮囷	渐
但令烂熟如蒸鸭	鸭
不著盐醯也自珍	不著
铮然梧叶响敲风	响
凉月疏星秋正中	秋
万顷水花浑老尽	浑
一簪醉日倚残红	倚
千里万里长安道	道
送君思君为君老	送君
原为水底石菖蒲	原
不教零落同百草	零落
大雪洒天表	洒
孤峰入云端	孤峰
何人向渔艇	何人
拥褐对巑岏	巑
江北秋阴一半开	一半
晚云含雨却低回	晚云
青山缭绕疑无路	青山
忽见千帆隐映来	隐映
闻说永平全盛时	闻
如云冠盖会京师	如云
新来逐客令严甚	甚
肉食满朝无李斯	肉食
明妃远嫁泣西风	西风
玉箸双垂出汉宫	玉箸
何事将军封万户	何事
却令红粉为和戎	红粉
岭外春过半	春
途中火又新	新
殷勤清远峡	殷勤
留恋北归人	留恋
三闾未死已招魂	招魂
却是狂夫不要论	却是
谁肯将身缘问道	缘
十年卧病菊花村	十年
积雨连宵气象清	积雨
晓来日色顿分明	分明
更无一片闲云采	一片
万里青天万里晴	万里
才到松陵即是家	家
茅堂万竹绿交加	绿
午窗睡起无他想	睡
坐看围棋到日斜	坐
绣帘直下整云鬟	绣
歌舞丛中强自懽	歌舞
兴尽归来太多事	归来
不如高卧学袁安	学
风号紧紧闭柴门	柴门
榾柮炉边了不闻	不闻
窗外月明谁是主	月明
输渠梅竹自平分	平分
枯木无枝可作花	枯木
门前度尽七香车	度
四隣日日笙歌里	日日
背立东风有几家	东风
江南江北路迢迢	路
往事东风恨未消	东风
昨夜杜鹃啼不了	啼
始知春在洛阳桥	春
桥边风月佳	风月
俯仰有余思	思
无忘履冰心	履
方识吟风意	意
华阳观里仙桃发	发
把酒看花心自知	心
争忍开时不同醉	醉
明朝后日即空枝	日
大学三年闻琢玉	闻
东堂一举早成名	早
借问还家何处好	还家
玉人含笑下机迎	迎
岸傍草树密	草
往往不知名	知名
其间有啼鸟	啼鸟
似与船相迎	船
挑灯伴寒夜	伴
兀坐竹炉边	坐
赤脚知吟苦	赤脚
时将山茗煎	煎
两铦金鐶鸣历历	鸣
大似檐头雨滴滴	滴
试问参方什么声	声
迷心未达菩提力	力
去去何时却见君	君
悠悠烟水似天津	悠悠
明年今夜有明月	明月
不是今年看月人	人
南风屋角响萧萧	萧萧
白日帘垂坐寂寥	坐
爱此宫商有真意	宫商
与君倾耳尽今朝	君
远别悠悠乡梦频	悠悠
逢君况是异乡春	春
可怜河畔青青柳	柳
又折长条别故人	故人
崔颢曾题黄鹤楼	楼
长沙拈起当风流	风流
大千国土俱家业	俱
诸佛何曾有地头	何曾
洞里不知城市改	改
人间再到子孙非	人间
有谁尚自看华表	华表
何处如今叫令威	令威
清晓叩玄关	清晓
忧时鬓已斑	鬓
何如闲道士	闲
隔竹看君山	君山
白云苍梧来	白云
氛氲万里色	万里
闻君太平世	太平
栖泊灵台侧	侧
要知好雨自何来	要知
和气连云拨不开	和气
廊庙为霖须妙手	须
即看力斡大钧回	力
闻道移居村坞间	间
竹林多处独开关	竹林
故来不是求他事	求
暂借南亭一望山	山
蒲葵裁成扇	扇
瘿木斲为樽	樽
自是山林物	物
不入纨绮门	门
少年骑骏马	骑
意气两相骄	意气
驰骋春风里	春风
人看满渭桥	人
月冷风清三径竹	竹
猿啼鹤唳一窗云	云
开门放入前山翠	翠
试把星儿柏子焚	焚
江寒烟暮水明霞	水
曲折斜行雁落沙	沙
曾是潇湘篷底见	曾
还疑今夜宿芦花	宿
水边岂无清江使	使
石上自有黄冠仙	仙
更须唤取辽东鹤	须
便是人间不老泉	人间
长安楼阁互相望	长安
户户珠帘十二行	行
绿水过桥通酒市	通
春风下马有垂杨	春风
欹枕邯郸梦忽残	梦
黄紬被稳日三竿	黄
起来门外霜如雪	霜
始信人间有夜寒	人间
夜寒错认定盘星	夜寒
金屑霏霏翳眼睛	霏霏
教坏平人至今日	今日
惺惺划地不惺惺	惺惺
一叶题诗出禁城	题诗
谁人酬和独含情	人
自嗟不及波中叶	嗟
荡漾乘春取次行	荡漾
遮藏茉莉槛	槛
缠裹芭蕉身	身
我亦入室处	入室
忍寒待阳春	阳春
懒把黄花插满头	插
正缘老大见花羞	羞
年来颇恨儒冠误	年
好倩西风吹去休	吹
昔年有迁客	昔年
携手醉嵌岩	醉
去我岁已百	岁
游人忽复三	游人
惜也天然一段奇	惜
如何万古罕人知	万古
只今烟水平轩槛	平
触目无非是孝慈	无非
寄声谢绛灌	绛
勿毁洛阳人	人
岁晚治安策	岁晚
谆谆礼大臣	礼
晚日东西路	路
秋风长短亭	秋风
悲歌浑欲绝	浑
衰泪不胜零	衰泪
春水方生秋又残	秋
上流无处避风寒	无处
杜鹃飞向东南去	飞
怕见如今蜀道难	难
古坟零落野花春	春
闻说中郎有后身	闻
今日爱才非昔日	今日
莫抛心力作词人	人
杨岐老人琐口诀	老人
万里长城一条铁	万里
斫牌禅客如到来	斫
不动金槌脑门裂	动
百和殷勤出省郎	殷勤
清真似有雪中香	雪
风流不在金炉暖	风流
自转馀薰到锦囊	锦囊
万树青青带雨寒	寒
离亭相别泪阑干	泪
莫将便作无情物	无情
亦待抽身入建安	建安
短鬓萧萧失旧青	青
此身已看作邮亭	邮亭
新秋无限凄凉意	意
尽付风蝉与露萤	露
剪水飞花着地干	干
世间颜色比应难	世间
谢家儿女空才思	空
只作因风柳絮看	柳絮
江烟漠漠暮天昏	漠漠
且把扁舟系树根	扁舟
欲问村中沽酒处	问
家家风雨不开门	风雨
山如削玉水涵秋	秋
人在冰壶月底游	人
